URL,Kód odpovědi,Chyba související se Zprávami,Zjištěno,Kategorie,Platforma,Naposledy procházeno
http://activate.etnetera.cz/novinky/31946-activate_life_110525_omniture_summit_den_druhy.html,404,,15.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,15.9.15
http://activate.etnetera.cz/novinky/34006-activate_life_110927_gacp_summit_2011.html,404,,16.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,16.9.15
http://activate.etnetera.cz/novinky/21890-activate_life_091026_gaac_shrnuti.html,404,,18.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,18.9.15
http://activate.etnetera.cz/novinky/55031-activate_life_140731_seznam_a_penalizace.html,404,,13.7.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,13.7.15
http://activate.etnetera.cz/novinky/28832-activate_life_101005_prednaska_LZa.html,404,,15.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,15.9.15
http://activate.etnetera.cz/nas-tym/lukas-cech.html,404,,17.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,17.9.15
http://activate.etnetera.cz/nas-tym/jiri-stepan.html,404,,7.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,17.9.15
http://activate.etnetera.cz/novinky/povinny-dkim-na-seznam-cz-co-znamena-pro-marketery.html,404,,6.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,6.9.15
http://activate.etnetera.cz/nas-tym/aleksandar-gajic.html,404,,24.8.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,24.8.15
http://activate.etnetera.cz/reference/43642-ref_allianz.html,404,,13.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,13.9.15
http://activate.etnetera.cz/nas-tym/michaela-novakova.html,404,,12.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,12.9.15
http://activate.etnetera.cz/novinky/nas-tym/msa,404,,19.8.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,23.8.15
http://activate.etnetera.cz/49778-e_consulting/,404,,1.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,1.9.15
http://activate.etnetera.cz/novinky/30137-activate_life_110221_certifikat_adwords.html,404,,29.7.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,1.8.15
http://activate.etnetera.cz/novinky/,404,,26.4.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,24.7.15
http://activate.etnetera.cz/49752-xtb/,404,,28.8.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,28.8.15
http://activate.etnetera.cz/novinky/nepresnost-statistik-skliku-aneb-experiment-ruzova-hyena.html,404,,3.8.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,3.8.15
http://activate.etnetera.cz/nas-tym/pavel-tousek.html,404,,17.11.14,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,30.6.15
http://activate.etnetera.cz/49767-nokia/,404,,27.6.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,27.6.15
http://activate.etnetera.cz/novinky/21890-activate_life_091026_GAAC_shrnuti.html,404,,14.9.15,Nenalezeno,Chytrý telefon,17.9.15
http://activate.etnetera.cz/novinky/40737-activate_life_120601_Adobe_dm_summit_2012_3.html,404,,16.9.15,Nenalezeno,Chytrý telefon,16.9.15
http://activate.etnetera.cz/novinky/portfolio/,404,,16.9.15,Nenalezeno,Chytrý telefon,16.9.15
http://activate.etnetera.cz/novinky/19236-activate_life_090609_GAU.html,404,,18.9.15,Nenalezeno,Chytrý telefon,18.9.15
